Date,Ledger Code,Payment Code,Account No.,Product Code,Application Code,Disbursement Code,Account Type,Transaction Type,Amount,Ref Id,Details,Contact,Remarks
28-08-2024,,,184,,,,3003,3012,"10,000",,Current Savings Balance,,Savings
28-08-2024,,,183,,,,3003,3012,"14,000",,Current Savings Balance,,Savings
28-08-2024,,,166,,,,3003,3012,"6,000",,Current Savings Balance,,Savings
28-08-2024,,,131,,,,3003,3012,"75,000",,Current Savings Balance,,Savings
28-08-2024,,,152,,,,3003,3012,"4,000",,Current Savings Balance,,Savings
28-08-2024,,,121,,,,3003,3012,"188,000",,Current Savings Balance,,Savings
28-08-2024,,,132,,,,3003,3012,"15,000",,Current Savings Balance,,Savings
28-08-2024,,,128,,,,3003,3012,"20,000",,Current Savings Balance,,Savings
28-08-2024,,,130,,,,3003,3012,"20,000",,Current Savings Balance,,Savings
28-08-2024,,,167,,,,3003,3012,"90,000",,Current Savings Balance,,Savings
28-08-2024,,,157,,,,3003,3012,"10,000",,Current Savings Balance,,Savings
28-08-2024,,,136,,,,3003,3012,"16,000",,Current Savings Balance,,Savings
28-08-2024,,,046,,,,3003,3012,"6,000",,Current Savings Balance,,Savings
28-08-2024,,,168,,,,3003,3012,"230,000",,Current Savings Balance,,Savings
28-08-2024,,,144,,,,3003,3012,"60,000",,Current Savings Balance,,Savings
28-08-2024,,,200,,,,3003,3012,"165,000",,Current Savings Balance,,Savings
28-08-2024,,,165,,,,3003,3012,"6,000",,Current Savings Balance,,Savings
28-08-2024,,,134,,,,3003,3012,"22,000",,Current Savings Balance,,Savings
28-08-2024,,,163,,,,3003,3012,"675,000",,Current Savings Balance,,Savings
28-08-2024,,,148,,,,3003,3012,"30,000",,Current Savings Balance,,Savings
28-08-2024,,,153,,,,3003,3012,"56,000",,Current Savings Balance,,Savings
28-08-2024,,,160,,,,3003,3012,"17,000",,Current Savings Balance,,Savings
28-08-2024,,,107,,,,3003,3012,"9,000",,Current Savings Balance,,Savings
28-08-2024,,,146,,,,3003,3012,"36,000",,Current Savings Balance,,Savings
28-08-2024,,,162,,,,3003,3012,"67,000",,Current Savings Balance,,Savings
28-08-2024,,,179,,,,3003,3012,"10,000",,Current Savings Balance,,Savings
28-08-2024,,,164,,,,3003,3012,"20,000",,Current Savings Balance,,Savings
28-08-2024,,,178,,,,3003,3012,"230,000",,Current Savings Balance,,Savings
28-08-2024,,,177,,,,3003,3012,"145,000",,Current Savings Balance,,Savings
28-08-2024,,,176,,,,3003,3012,"10,000",,Current Savings Balance,,Savings
28-08-2024,,,154,,,,3003,3012,"36,000",,Current Savings Balance,,Savings
28-08-2024,,,142,,,,3003,3012,"75,000",,Current Savings Balance,,Savings
28-08-2024,,,161,,,,3003,3012,"55,000",,Current Savings Balance,,Savings
